"id","name","title","imageURL"
"/speaker/mala-gupta","Mala Gupta","SmF2YSBDaGFtcGlvbiwgQXV0aG9yLCBTcGVha2Vy","https://developersummit.com/assets/images/speakers/64110f6018310.jpeg"
"/speaker/mary-grygleski","Mary Grygleski","SmF2YSBDaGFtcGlvbiAmIFNlbmlvciBEZXZlbG9wZXIgQWR2b2NhdGUsIERhdGFTdGF4","https://developersummit.com/assets/images/speakers/6377f54dbdca5.jpeg"
"/speaker/matt-parizeau","Matt Parizeau","V2ViIERldmVsb3BtZW50IFRlYW0gTGVhZCwgQXByeXNl","https://developersummit.com/assets/images/speakers/6376fe040c032.jpeg"
"/speaker/mridul-moitra","Mridul Moitra","UHJpbmNpcGFsIENvbnN1bHRhbnQsIEJhbmtpbmcgJiBDYXBpdGFsIE1hcmtldHMsIEx1eG9mdA==","https://developersummit.com/assets/images/speakers/63d9d1fcd6fda.jpeg"
"/speaker/nagesha-saligrama","Nagesha Saligrama","U2VuaW9yIE1hbmFnZXIsIENBRQ==","https://developersummit.com/assets/images/speakers/63f43d7ea7bb9.jpeg"
"/speaker/nataraju-vusirikala","Nataraju Vusirikala","RGlyZWN0b3IsIERhdGEgU2NpZW5jZSAmIEVuZ2luZWVyaW5nLCBXYWxtYXJ0IEdsb2JhbCBUZWNo","https://developersummit.com/assets/images/speakers/63db5e0ddf5ad.jpeg"
"/speaker/neeraj-poddar","Neeraj Poddar","SGVhZCBvZiBFbmdpbmVlcmluZywgU29sby5pbw==","https://developersummit.com/assets/images/speakers/63d89deb0ecaf.jpeg"
"/speaker/nicolas-frankel","Nicolas Fränkel","SGVhZCBvZiBEZXZlbG9wZXIgQWR2b2NhY3ksIEFwYWNoZSBBUElTSVg=","https://developersummit.com/assets/images/speakers/60305e44146c6.jpg"
"/speaker/nikhil-nanivadekar","Nikhil Nanivadekar","UHJpbmNpcGFsIEVuZ2luZWVyLCBBbWF6b24=","https://developersummit.com/assets/images/speakers/6377f3bd4d069.jpeg"
"/speaker/padmaraj-moorthy","Padmaraj Moorthy","RGlnaXRhbCBBcmNoaXRlY3QgJiBUcmFuc2Zvcm1hdGlvbiBTcGVjaWFsaXN0LCBTYWxlc2ZvcmNl","https://developersummit.com/assets/images/speakers/63e1a05515615.jpeg"
"/speaker/palani-ramanathan","Palani Ramanathan","U29mdHdhcmUgQXJjaGl0ZWN0LCBTYWxlc2ZvcmNl","https://developersummit.com/assets/images/speakers/63e19f31826c4.jpeg"
"/speaker/pallavi-bhosale","Pallavi Bhosale","U2VuaW9yIFNvZnR3YXJlIEFyY2hpdGVjdCwgVGlldG9ldnJ5","https://developersummit.com/assets/images/speakers/63feca403f867.jpeg"
"/speaker/parul-jain","Parul Jain","VlAgb2YgRW5naW5lZXJpbmcsIFRhYmxlYXUgYXQgU2FsZXNmb3JjZQ==","https://developersummit.com/assets/images/speakers/63e19e6b62641.jpeg"
"/speaker/peter-thomas","Peter Thomas","Q28tZm91bmRlciwgS2FyYXRlIExhYnM=","https://developersummit.com/assets/images/speakers/640ac6403e3ff.jpeg"
"/speaker/pooja-subramaniam","Pooja Subramanian","TWFya2V0IFRlY2hub2xvZ3kgUGFydG5lciwgQXVzdHJhbGlhLCBUaG91Z2h0V29ya3M=","https://developersummit.com/assets/images/speakers/637c652a24d7a.jpeg"
