source,target
/speaker/rob-richardson,/session/choosing-from-the-many-ways-to-docker-in-azure
/speaker/rob-richardson,/session/git-scenarios-how-do-i-fix-that
/speaker/rob-richardson,/session/scaling-the-testing-pyramid-in-javascript
/speaker/rob-richardson,/session/minimal-apis-in-aspnet-60
/speaker/rob-richardson,/session/javascript-tests-in-node-the-browser-and-ci-1
/speaker/rohit-bhardwaj,/session/top-algorithms-for-performance-and-efficiency
/speaker/rohit-bhardwaj,/session/architecting-cloud-native-microservices
/speaker/rohit-bhardwaj,/session/devsecops-productivity-metrics-and-tools
/speaker/rohit-bhardwaj,/session/aws-lambda-and-serverless-framework-deep-dive
/speaker/rohit-bhardwaj,/session/15-best-practices-for-designing-enterprise-restful-apis-in-the-cloud
/speaker/rohit-bhardwaj,/session/mastering-cloud-scalability-and-system-designs-deep-dive
/speaker/rohit-ghumare,/session/securing-and-streamlining-with-zero-trust-tunnel-in-istio-ambient-mesh
/speaker/ron-veen,/session/data-oriented-programming-in-java
/speaker/shesadri-parthasarathy,/session/building-stable-scalable-and-agile-distributed-systems-at-enterprise-scale
/speaker/steve-poole,/session/superman-or-ironman-can-everyone-be-a-10x-developer
/speaker/steve-poole,/session/a-new-hope-for-2023-what-developers-must-learn-next
/speaker/tuhin-sharma,/session/pybandit-a-website-optimization-framework-for-e-commerce-smbs
/speaker/vanya-seth,/session/shift-data-quality-left-with-data-mesh-principles
/speaker/vijayabharathi-balasubramanian,/session/release-engineering-for-a-polyglot-team
/speaker/vinay-joshi,/session/our-analytical-data-journey-from-paper-to-petabytes
