id,title,avgvote,releaseyear,tagline
10147,Bad Santa,6.100000,2003,He doesn't care if you're naughty or nice.
10150,The Last Unicorn,7.400000,1982,There's Magic in Believing!
101519,A Fantastic Fear of Everything,6.200000,2012,
10152,Dumb and Dumberer: When Harry Met Lloyd,5.500000,2003,The evolution of dumb...
10153,Sphere,5.800000,1998,"A thousand feet beneath the sea, the blackest holes are in the mind..."
10154,Mickey Blue Eyes,5.000000,1999,A romantic comedy you can't refuse
10155,U Turn,6.800000,1997,
10156,History of the World: Part I,6.100000,1981,
10157,Police Academy 2: Their First Assignment,5.300000,1985,"To protect, to serve... and make you laugh. America's funniest crimebusters are back!"
10158,White Men Can't Jump,6.200000,1992,It ain't easy being this good.
10159,The Rundown,6.400000,2003,Cut to the chase
10160,A Nightmare on Elm Street 5: The Dream Child,5.700000,1989,"Now Freddy’s a daddy, he’s killing for two."
10161,My Left Foot: The Story of Christy Brown,7.500000,1989,
10163,The Lawnmower Man,6.400000,1992,God made him simple. Science made him a god.
101669,Mother's Day,6.500000,2010,Don't Misbehave
10166,The Witches,6.400000,1990,Saving the world from witches is a tall order for a boy they've turned into a mouse!
10167,Half Past Dead,5.300000,2002,
10172,Are We Done Yet?,4.600000,2007,
101731,The Magic of Belle Isle,8.300000,2012,A Re-Coming of Age Story.
10173,Marked for Death,6.500000,1990,He's a good cop. In a bad mood.
10176,The Quiet Earth,7.300000,1985,The End of the World is Just the Beginning
10178,The Caine Mutiny,7.500000,1954,As big as the ocean!
10183,Frozen River,6.700000,2008,
10184,He's Just Not That Into You,5.900000,2009,Are you the exception...or the rule?
10185,The Midnight Meat Train,6.100000,2008,The most terrifying ride you'll ever take
10186,The Rocker,5.400000,2008,Opportunity rocks.
10187,Swing Vote,5.000000,2008,
10188,The Sisterhood of the Traveling Pants 2,5.300000,2008,Some friends just fit together.
10189,Pineapple Express,6.500000,2008,Put this in your pipe and smoke it.
1018,Mulholland Drive,7.000000,2001,An actress longing to be a star. A woman searching for herself. Both worlds will collide...on Mulholland Drive
101907,Hulk vs. Thor,6.600000,2009,A Battle Between God and Monster
10191,How to Train Your Dragon,7.100000,2010,One adventure will change two worlds
10192,Shrek Forever After,5.800000,2010,It ain't Ogre... Til it's Ogre
10193,Toy Story 3,7.300000,2010,No toy gets left behind.
10195,Thor,6.300000,2011,Two worlds. One hero.
10196,The Last Airbender,5.000000,2010,"Four nations, one destiny"
10197,Nine,4.900000,2009,
10198,The Princess and the Frog,6.300000,2009,Every Love Story Begins With a Kiss...
10199,The Tale of Despereaux,6.300000,2008,"Small Mouse, Big Dreams"
101,Leon: The Professional,7.700000,1994,"If you want a job done well, hire a professional."
102001,Like Someone in Love,6.900000,2012,
10200,The Day the Earth Stood Still,5.300000,2008,12.12.08 is the Day the Earth Stood Still
10201,Yes Man,6.300000,2008,One Word Can Change Everything.
10202,Bedtime Stories,5.700000,2008,Whatever they dream up... he has to survive.
10204,Around the World in 80 Days,5.600000,2004,Let your imagination soar.
10206,Buffy the Vampire Slayer,5.800000,1992,She knows a sucker when she sees one.
10207,Message in a Bottle,5.400000,1999,A story of love lost and found.
10208,Muppets from Space,6.200000,1999,Space. It's not as deep as you think.
10210,A Midsummer Night's Dream,7.000000,1999,
10212,Ravenous,6.700000,1999,You Are Who You Eat
10213,From Dusk Till Dawn 3: The Hangman's Daughter,5.600000,1999,
10214,Son of the Mask,4.300000,2005,Who's next?
10215,Sliding Doors,6.700000,1998,What if one split second sent your life in two completely different directions?.
10216,Species II,5.300000,1998,Mating season begins...
10218,Swingers,7.600000,1996,Cocktails first. Questions later.
102207,HOUBA! On the Trail of the Marsupilami,5.100000,2012,
10220,Rounders,6.800000,1998,Trust everyone... But always cut the cards.
10222,Kickboxer,6.600000,1989,An Ancient Sport Becomes A Deadly Game.
10223,A Simple Plan,6.500000,1998,
10225,Friday the 13th Part VI: Jason Lives,5.900000,1986,Kill or be killed!
10226,High Tension,7.100000,2003,Hearts will bleed.
